"filename", "language", "Docker", "JSON", "JSON with Comments", "Markdown", "TypeScript", "JavaScript", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\backend\Dockerfile", "Docker", -7, 0, 0, 0, 0, 0, 0, 0, -9, -6, -22
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\backend\app.js", "JavaScript", 0, 0, 0, 0, 0, -462, 0, 0, -22, -108, -592
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\backend\models\data.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, -15, -6, -21
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\backend\package-lock.json", "JSON", 0, -847, 0, 0, 0, 0, 0, 0, 0, -1, -848
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\backend\package.json", "JSON", 0, -27, 0, 0, 0, 0, 0, 0, 0, -1, -28
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\Dockerfile", "Docker", 8, 0, 0, 0, 0, 0, 0, 0, 5, 4, 17
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\README.md", "Markdown", 0, 0, 0, 14, 0, 0, 0, 0, 0, 14, 28
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\angular.json", "JSON", 0, 138, 0, 0, 0, 0, 0, 0, 0, 4, 142
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\e2e\protractor.conf.js", "JavaScript", 0, 0, 0, 0, 0, 24, 0, 0, 6, 2, 32
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\e2e\src\app.e2e-spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 1, 5, 24
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\e2e\src\app.po.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 3, 12
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\e2e\tsconfig.json", "JSON with Comments", 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\karma.conf.js", "JavaScript", 0, 0, 0, 0, 0, 29, 0, 0, 2, 2, 33
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\package-lock.json", "JSON", 0, 13491, 0, 0, 0, 0, 0, 0, 0, 1, 13492
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\package.json", "JSON", 0, 65, 0, 0, 0, 0, 0, 0, 0, 1, 66
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\_models\data.model.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\_models\index.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\_models\indicator.model.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\_models\learningActivity.model.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\_models\learningEvent.model.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\_models\pathObject.model.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 2, 12
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\_models\reference.model.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\_models\review.model.ts", "TypeScript", 0, 0, 0, 0, 17, 0, 0, 0, 0, 1, 18
